EntityName,Eff
Adams Gulch,.75837380000
Aspen,.74146380000
Aspen Grove HOA,.76599450000
Aspen Hollow HOA,.73054470000
Bannon,.75000000000
Berlow,.75000000000
Big Wood Golf,.75000000000
Black,.70781080000
Broadford,.79343340000
Buhler 1,.50000000000 ,natural sub-irrigation
Buhler 2,.54785040000
Bypass Baseline,.50000000000
Chalet Mobile Home Park,.75293770000
City of Bellevue,.71079390000
City of Ketchum,.55275160000
Clear Creek J and C,.75316670000
Clear Creek Jesinger,.75000000000
Cold Springs Water Co,.77247080000
Comstock,.75000000000
Cove,.73849580000
Croy,.72175580000
Deer Creek Ranch,.74353070000
Dip Creek,.76387670000
District,.69455530000
Eagle Creek,.72766920000
East Fork,.74488650000
Flood Uhrig,.75000000000
Flying Heart Ranch II,7.5878710E-01
Gimlet,7.5000000E-01
Glendale,.72117680000
Golden,.71795040000
Graff,.74586660000
Greenhorn Owners Assoc,.74210330000
GW Boradford Stone Cove,.76906680000
GW Cain Abv 20,.80548570000
GW Chaney,.74389950000
GW Croy,.73871970000
GW East Fork,.50000890000
GW Freedom,.79104750000
GW Gannett,.73182750000
GW Gimlet to Hailey,.70887300000
GW Glendale to Wood River Ranch,.50001150000
GW Hailey to S Broadford,.70917770000
GW Hulen Rd to Ketchum,.74768000000
GW Ketchum to Gimlet,.50001460000
GW Mud Abv 20,.78812320000
GW Nr Ketchum to Hulen Rd,.75592390000
GW S Broadford to Glendale,.80178060000
GW Silver Blw Sportsman,.73647770000
GW Silver North,.50002290000
GW Silver South,.74402470000 ,natural sub-irrigation
GW Stalker,.77207950000 ,natural sub-irrigation
GW Willow,.50000000000
GW Wilson Abv 20,.74552740000
Heatherlands HOA,.77341120000
Hiawatha Hailey,.74877770000
Hiawatha Other,.75759820000
Hiawatha Valley Club,.79337450000
Holiday Highway Subdivision,.72742320000
Hulen Meadows Water Co,.75251690000
Indian Creek,.75000000000
Industrial Park,.80272900000
Kilpatrick Iden,.54040300000 ,natural sub-irrigation
Lake Creek,.74363160000
Loving Silver,.85731810000 ,natural sub-irrigation
Lufkin,.75000000000
Mid Valley Water Co,.74869220000
Misc Big Wood Div,.75000000000
Moore,.75000000000
North Fork Water System,.73250570000
Oregon,.75000000000
Purdum,.71951800000
Quigley,.76777050000
Rinker,.75000000000
River Lodge,.75000000000
Riverwoods HOA,.77117800000
Seamans Creek,.75000000000
Southern Comfort HOA,.76661440000
Springs Ketchum to Gimlet,.72856440000
Starlite HOA,.72820510000
Starweather,.74853950000
Stonegate HOA,.75222670000
Sun Tree Hollow Mobile Home Park,.71694210000
Sun Valley Water and Sewer District,.84351880000
Thomas,.75000000000
Timberview,.70140420000
Willow,.67382600000
Wynn,.75000000000
